#{"t_start": 1720796808.747204, "env_id": "Walker2d-v4"}
r,l,t
2608.515574,1000,8686.485987
2150.542748,1000,8715.236226
2471.112865,1000,8743.69788
2660.082209,1000,8771.329231
581.469087,275,8777.716269
2556.668857,1000,8800.745349
2759.649867,1000,8823.854269
1512.508048,579,8838.947295
1349.001175,588,8852.465717
2955.829688,1000,8875.598309
2660.735297,1000,8898.860067
2418.737098,1000,8921.982131
2186.116711,1000,8945.162823
110.989389,123,8948.155235
320.612497,253,8954.056219
12.497395,109,8956.57573
2454.685008,853,8976.356686
2897.716551,969,8998.748278
2878.781452,1000,9021.949358
2626.860143,1000,9045.263082
2290.076754,1000,9071.215335
2699.416584,1000,9094.58222
2657.565743,1000,9117.738453
2523.999453,1000,9141.186081
2422.470915,875,9161.390091
2341.341196,1000,9184.798859
2311.738278,1000,9209.174438
2662.565555,1000,9235.899898
1690.69423,637,9251.903397
1352.258896,502,9263.612653
2553.16802,1000,9291.78643
1559.251639,561,9306.43321
1437.885012,657,9322.031306
1476.532594,518,9335.778846
2606.517444,1000,9364.621634
975.077235,428,9374.825299
270.328802,164,9378.616587
227.870608,167,9382.471092
502.920347,345,9390.406277
1147.796007,361,9398.820771
2691.52139,1000,9421.674707
2811.634331,1000,9446.329373
2569.743311,1000,9469.662195
2332.102361,856,9489.609306
2600.866406,1000,9512.91348
2494.687646,1000,9536.272159
2647.805019,1000,9559.760815
2725.947125,1000,9583.229868
2895.661304,1000,9607.746756
2492.807429,1000,9633.505458
2750.339785,1000,9661.605058
2104.412758,751,9679.588886
2695.979847,1000,9708.7208
167.556476,119,9711.517518
2797.512864,1000,9738.698203
2827.540329,1000,9766.691537
1256.589721,567,9780.934013
773.590718,450,9791.740441
96.032506,99,9794.1096
2072.546072,899,9817.000168
1993.526779,1000,9845.594459
2629.96733,1000,9869.973563
2822.739815,1000,9896.8218
3031.931188,1000,9920.429775
2017.804782,657,9938.918337
2452.931034,1000,9964.357784
2280.854644,807,9985.845694
1095.535215,417,9995.56549
2609.769766,1000,10023.225151
2801.780013,1000,10051.458838
2274.04374,827,10071.76049
1726.219511,664,10091.930045
2876.860911,1000,10119.316935
3008.839448,1000,10143.189075
2599.056002,1000,10169.078551
1826.753945,655,10186.888554
2780.501278,1000,10211.468433
428.593287,219,10217.588857
593.10331,297,10225.204049
3031.046917,1000,10257.592311
953.104275,351,10268.528853
2746.179612,1000,10296.046093
2915.325754,1000,10324.116338
2824.83275,1000,10352.738279
2929.434724,1000,10378.885204
2893.410468,1000,10408.337549
500.62055,198,10413.074223
2906.310415,1000,10439.822773
1963.602699,653,10456.796748
2453.527016,1000,10485.376222
3026.283556,1000,10512.106668
2773.379729,1000,10538.272431
1785.748637,630,10554.680547
2684.023923,904,10581.680298
3167.1053,1000,10610.180213
2726.443447,1000,10637.551466
2877.358357,1000,10663.413093
2809.755873,1000,10686.910962
3002.734429,1000,10712.470443
2899.213611,1000,10738.898099
3022.26443,1000,10767.138886
2834.400606,926,10794.151362
3263.721569,1000,10820.251475
1186.748701,503,10834.141699
2918.213101,1000,10862.953008
894.286147,318,10872.882689
3009.399346,1000,10902.468122
532.793151,245,10908.336758
1358.461463,438,10918.925485
3271.34287,948,10946.919934
3166.921745,1000,10972.029876
2988.080455,1000,11002.73997
2902.324362,860,11023.310087
3280.142382,1000,11050.172859
2576.247189,1000,11077.159218
3309.292041,1000,11102.882051
260.95396,227,11108.274566
2126.534756,699,11126.269163
3008.037566,1000,11150.696383
3137.574192,1000,11174.547028
319.743661,201,11179.64973
2330.591402,725,11203.335464
755.235317,333,11213.046681
2884.980909,1000,11243.868963
2945.122584,1000,11272.393828
2708.833029,1000,11300.646476
3152.552039,1000,11330.266436
34.571586,127,11333.894407
2549.209107,767,11354.241528
62.179847,205,11360.52664
985.472748,432,11372.754626
738.56314,283,11380.950221
7.980169,49,11382.337318
1360.392644,497,11397.722574
2797.676037,1000,11427.116752
2136.791843,785,11446.149658
3160.142876,1000,11474.632273
2936.557385,1000,11504.210597
1984.47372,815,11527.611267
2705.278011,1000,11554.168966
1627.594728,585,11570.339118
874.210889,341,11578.623892
1908.723256,678,11598.769141
3166.502165,1000,11628.668055
2666.649273,1000,11653.539674
1604.873083,508,11668.040871
805.321635,287,11675.101633
1293.53746,453,11685.897776
2366.899036,742,11705.256346
1172.670811,509,11719.03526
2925.719431,1000,11751.137593
1996.511221,629,11772.097631
3025.512751,943,11801.935043
2854.102112,1000,11832.555553
2476.814877,864,11858.920612
3171.487087,1000,11888.4356
2922.229199,1000,11918.499399
3079.372569,1000,11949.114787
3192.814834,968,11975.854698
2778.510176,1000,12003.748217
2933.730298,1000,12032.618198
951.145932,319,12042.721977
3134.78051,1000,12071.528303
2329.471997,805,12094.71024
2303.811737,715,12117.078683
2810.472719,817,12144.095636
3033.184532,1000,12173.114408
355.974084,154,12177.635606
3410.55118,1000,12208.123793
3030.491488,974,12235.060455
1887.716872,572,12252.153383
2835.151385,1000,12281.281533
383.686555,408,12293.140642
18.465511,64,12295.264526
1637.090059,565,12312.170168
3022.924831,1000,12341.411553
3073.641034,1000,12372.017467
3088.471417,1000,12402.721629
2633.30813,812,12425.086806
2202.151389,642,12444.911235
3092.743723,1000,12470.615135
3653.198387,1000,12499.210086
2355.77394,654,12518.052034
558.64768,227,12524.501649
3113.049294,1000,12552.041227
2100.836645,649,12569.862761
2993.955003,1000,12599.887019
3238.249531,932,12627.361604
2807.414009,901,12654.795073
3005.032863,942,12684.049135
3402.440645,1000,12714.159247
1432.009827,483,12729.368411
1526.542771,529,12745.265674
156.495565,117,12748.139424
3172.457386,1000,12778.35096
3357.097118,1000,12808.269618
3256.474774,1000,12834.432119
3503.758756,1000,12860.047548
1976.152783,621,12878.667693
3445.698237,1000,12905.441458
1901.813057,594,12922.766242
962.032349,314,12931.481003
2594.489583,815,12955.501774
3432.530535,1000,12983.503003
3194.0718,1000,13012.233092
3486.121566,1000,13044.405389
1305.052227,418,13058.820539
2778.249127,863,13084.1917
3333.152144,1000,13114.51468
992.110524,402,13126.833808
2258.75661,684,13147.282174
1103.278517,366,13157.060313
2231.712675,728,13179.085672
3136.474229,1000,13208.547796
1631.112159,505,13224.004049
1694.079474,539,13238.425009
3043.103965,1000,13267.197317
2878.564564,1000,13297.703557
3014.089134,1000,13325.7289
3027.48455,1000,13354.655037
3215.321554,1000,13381.941791
647.646038,249,13388.776097
1694.124397,595,13406.174151
3312.602242,1000,13436.4594
3370.718253,1000,13465.475599
3659.231926,1000,13494.795129
5.521239,29,13495.714498
613.544562,277,13505.00687
3677.133494,1000,13534.821391
1421.950874,427,13547.51272
3417.893733,1000,13577.149311
1598.9944,478,13591.807816
2072.347145,654,13610.503188
3249.703982,1000,13638.624708
3331.300107,1000,13668.675345
1305.245577,410,13680.415497
3195.090311,1000,13708.226488
3037.975847,1000,13736.505295
2597.631057,755,13757.036665
730.306945,279,13764.431489
2981.691568,1000,13793.735896
-10.951956,55,13795.89239
-8.781219,54,13798.013177
2423.776507,1000,13835.744484
3389.876232,1000,13863.153438
3144.023503,828,13885.63847
3155.151285,1000,13910.79723
2996.399469,863,13936.313818
3519.325753,1000,13963.586962
3483.646044,1000,13989.57387
2107.692034,606,14006.323346
3512.90956,1000,14033.410087
1193.566529,352,14042.883794
1320.625098,388,14052.612163
1167.019407,389,14062.543342
1260.082387,463,14073.698139
1154.607955,418,14086.26953
989.739206,340,14096.051029
160.886426,146,14099.590742
802.949152,304,14106.864421
1779.752074,595,14121.349068
1209.780158,383,14132.429301
2601.461802,1000,14160.353912
3181.419657,1000,14184.2271
3088.500058,1000,14208.045195
3174.516079,1000,14231.755324
3414.845732,1000,14256.665533
3612.965789,1000,14280.57839
3467.030247,1000,14304.642321
3429.014355,1000,14328.420546
3495.478274,1000,14352.230269
3472.533734,1000,14378.945611
2327.900212,632,14394.092452
3562.867093,1000,14418.47156
1898.472541,542,14431.493513
1366.401398,409,14441.389982
1741.392671,525,14453.972224
3678.221516,1000,14478.242592
3805.061882,1000,14505.940539
56.548938,95,14509.941607
3646.390366,1000,14539.421839
3423.157063,959,14567.886408
3513.772693,1000,14593.577832
3590.762078,1000,14616.989125
1601.963208,459,14627.840169
841.314283,268,14634.965743
3163.87389,861,14655.352058
998.97997,305,14662.66811
3393.365002,1000,14686.668739
626.389015,274,14693.189155
3559.423904,1000,14718.849367
3567.216514,1000,14743.177803
2692.777527,824,14762.597692
232.235097,168,14766.660595
97.566797,110,14769.318286
3120.302848,911,14790.894805
136.99491,102,14793.449066
2985.907276,1000,14818.418155
3293.009923,1000,14844.591732
3450.561561,1000,14870.768465
1437.328136,446,14882.952265
1964.14298,543,14897.72248
2868.305413,1000,14922.892186
3449.272333,1000,14946.577432
1467.996321,462,14957.450273
3561.501178,1000,14981.403211
3554.459103,1000,15004.936744
1783.088915,516,15017.274902
3557.895286,1000,15042.11626
1467.863684,412,15053.153521
3242.115044,1000,15077.81181
3472.387512,1000,15101.71995
3283.571298,1000,15125.224166
