#{"t_start": 1720693212.6348329, "env_id": "Humanoid-v4"}
r,l,t
565.43335,120,4805.458508
449.234071,98,4816.2981
521.791301,99,4827.49381
420.346617,78,4834.31823
958.611969,181,4849.544906
478.149882,86,4856.881324
490.52669,91,4866.115411
554.303439,109,4876.587145
618.555944,115,4892.952973
374.247552,70,4899.887958
370.014928,85,4907.465397
491.721296,92,4916.859218
384.024523,73,4923.880098
389.738117,85,4932.169796
589.158811,131,4944.629228
420.526086,80,4952.428062
468.454966,103,4963.455688
578.975417,107,4974.775816
517.029924,113,4985.209186
647.976265,140,4998.293726
461.947986,88,5006.894163
367.049433,81,5014.969955
405.096924,75,5023.439799
492.587825,110,5033.74806
383.708493,86,5041.945662
629.332422,133,5054.148494
435.525098,80,5061.878964
550.699962,119,5074.004528
532.746554,116,5086.387296
459.393788,87,5095.35012
738.567202,141,5109.374299
551.366476,118,5120.239749
588.636712,112,5131.009397
380.444386,86,5139.954983
555.344918,101,5150.17627
760.94754,148,5165.008747
626.187937,118,5176.017301
769.489439,147,5190.29533
572.634846,121,5202.47157
437.212548,84,5210.900723
585.3004,110,5220.672685
567.638907,108,5230.05446
444.59365,83,5238.008961
456.984955,84,5245.538849
354.575176,68,5252.476055
442.319315,95,5262.652136
517.874719,97,5271.850632
342.119081,64,5277.605608
547.559515,102,5287.054347
513.611942,97,5296.084004
444.996895,84,5303.948961
418.52143,78,5310.896624
442.219792,83,5318.429827
626.532746,119,5328.889898
458.006854,86,5337.845279
265.176721,54,5342.35402
436.551375,80,5349.443534
420.241797,80,5356.732338
427.825137,95,5364.712491
427.262732,79,5371.345091
544.887388,105,5380.300775
421.702453,79,5387.373547
424.940368,79,5394.312039
376.417387,69,5400.040932
435.742433,82,5407.618501
639.688551,122,5418.114744
601.779576,114,5428.114557
554.585606,103,5437.350148
521.569131,98,5446.011577
554.954396,108,5455.585618
445.550771,83,5462.854035
529.214185,96,5471.358506
481.15944,103,5480.120516
522.185262,96,5488.626134
571.764522,126,5499.754492
414.951987,83,5506.983626
475.519997,103,5515.844904
512.954348,97,5523.926309
820.876799,177,5539.234821
973.453028,191,5557.343469
500.597716,96,5565.301642
527.576691,101,5574.482126
341.843921,62,5579.529281
411.612211,78,5586.396495
490.169045,93,5595.134782
441.518094,83,5602.298777
495.630517,112,5612.717538
432.975877,81,5620.370747
427.552518,79,5628.316087
623.214812,114,5638.731456
449.590035,81,5645.674694
432.588729,81,5652.772551
506.915462,107,5662.398586
375.739222,81,5670.002272
324.297029,74,5676.222156
368.078258,85,5683.684165
540.423222,102,5692.538978
517.25572,112,5702.60572
587.779219,112,5713.112972
360.031842,81,5720.907118
814.172282,155,5734.225461
319.74487,64,5740.152127
577.640372,106,5749.718127
515.035014,98,5758.092679
528.949374,97,5766.450322
417.871233,75,5773.319267
560.760602,126,5785.599934
766.781167,165,5801.271666
398.608823,90,5809.273984
793.260438,169,5824.438867
531.07884,102,5833.507434
578.752434,113,5843.793243
468.894466,87,5852.976791
654.24472,125,5864.568008
355.546744,67,5870.782269
457.860452,102,5879.945055
788.751925,151,5894.46756
476.93309,91,5902.887874
951.11002,190,5920.538372
290.926849,59,5925.97197
482.000829,89,5935.326252
463.684072,104,5949.273452
601.560259,132,5961.352662
836.17634,160,5974.873805
547.776199,115,5985.189668
431.624041,84,5992.302002
464.455564,93,5999.512003
392.122902,75,6005.990271
452.998465,86,6013.608627
831.467062,160,6027.867592
701.790947,136,6040.735163
435.232145,81,6049.246242
827.185577,163,6066.561458
480.939344,91,6075.080643
576.317731,128,6086.567255
726.895238,154,6099.608139
722.139116,138,6111.04887
437.800885,89,6118.247242
481.103135,109,6127.03877
499.222803,95,6134.756387
565.737897,108,6143.827145
533.466688,102,6153.083361
643.793722,141,6164.556449
528.678327,97,6173.086805
419.73897,75,6180.506741
656.745843,128,6192.054055
642.45581,116,6202.271764
511.88435,97,6211.057635
511.43531,95,6219.711804
965.7709,186,6236.146047
543.707364,102,6244.800793
563.896184,105,6254.374157
505.061327,103,6264.146179
615.298349,117,6274.561549
553.599292,104,6284.104516
689.400082,145,6297.069281
675.867331,149,6310.765723
578.070786,119,6321.572516
806.414957,175,6338.329727
577.562139,108,6348.296007
369.445245,87,6356.201477
501.506332,94,6364.638068
403.770473,89,6372.535434
958.17938,187,6390.617909
566.734016,127,6402.368473
639.481112,119,6413.318998
917.794275,178,6429.343683
334.203992,68,6435.406097
522.121425,98,6445.121189
475.506534,94,6453.406491
617.980425,132,6465.177737
408.808277,94,6473.900178
402.860024,76,6480.627045
415.166527,95,6489.41022
373.249003,82,6497.194458
533.897925,100,6506.793905
848.610679,164,6522.319506
548.515825,104,6532.396869
450.250338,102,6541.930879
669.479835,126,6553.196115
951.585175,187,6570.840983
643.536976,123,6583.309577
640.092212,124,6594.579682
351.237968,70,6600.738979
394.730833,76,6608.239122
459.883301,84,6615.550384
564.000202,125,6627.217397
596.71676,114,6638.352843
594.774121,119,6651.2199
445.122488,82,6658.785315
749.527138,153,6673.544499
506.733344,94,6682.644309
325.527784,63,6688.022141
733.886908,142,6699.890576
464.42342,88,6707.444407
836.592742,158,6719.950173
653.977198,121,6729.677555
660.793938,124,6740.135851
485.898925,94,6748.071217
608.720613,112,6757.218134
411.197124,92,6764.88358
657.949984,125,6775.289837
511.869726,94,6782.792306
530.836802,100,6790.780144
389.086171,88,6797.559826
1091.255343,222,6816.01782
622.672217,137,6827.297136
1008.095544,192,6843.43071
683.67074,153,6855.684725
633.629799,120,6865.481345
903.116637,174,6880.399885
533.399258,116,6890.038331
460.70593,105,6898.297249
1124.808365,218,6916.652196
713.844706,144,6929.058235
448.724418,87,6936.595764
823.496365,158,6950.342968
651.907739,132,6962.237017
601.36357,116,6972.122326
395.795043,75,6978.487188
787.651883,155,6991.241307
488.502296,94,6999.221103
622.007499,140,7010.788076
553.872618,123,7020.598908
522.269523,114,7029.66389
766.383651,167,7042.79538
1121.015144,213,7061.260267
448.753377,96,7069.403919
517.160895,97,7077.930971
526.224093,98,7086.323535
622.380738,114,7096.012041
418.781964,78,7103.085483
547.864654,107,7112.497826
592.479785,118,7122.371487
652.20133,122,7132.547634
483.449693,91,7139.866515
656.424998,124,7149.916658
1473.005388,287,7176.242029
620.234979,137,7187.816846
1101.491907,210,7204.898711
661.857233,124,7215.173607
482.790063,92,7223.002997
507.30419,98,7231.280187
898.07559,174,7245.962713
535.110678,100,7254.221711
537.215731,102,7262.327179
745.998706,143,7274.366947
423.357448,96,7283.258759
860.110172,170,7299.73167
693.420608,129,7311.172786
553.530293,105,7321.106829
679.614519,128,7332.674761
670.282216,139,7345.860888
661.737821,125,7357.346022
716.995693,137,7370.230588
337.352495,78,7377.428234
513.36865,107,7387.074288
473.628701,101,7395.905902
570.290638,109,7405.45105
1588.683026,315,7434.07238
949.718533,186,7451.125613
1007.875358,195,7469.391962
719.333581,140,7482.33905
486.070441,104,7492.427913
354.983295,72,7499.01345
452.797321,89,7507.066646
750.186681,149,7520.654674
628.331361,120,7531.333767
1124.238287,216,7551.064406
683.825928,134,7563.42444
290.690933,67,7569.683541
588.627451,112,7580.578626
1012.932429,218,7600.827375
866.449884,164,7616.152736
831.127269,161,7630.860257
1100.173451,219,7650.382034
486.926528,91,7658.657673
1122.37265,215,7678.232405
526.526792,98,7686.75189
482.986331,89,7694.580849
560.766455,106,7704.184282
1179.438923,227,7725.707914
643.227212,119,7736.612233
736.797499,158,7751.637254
497.553841,94,7760.048512
600.759092,115,7770.568742
913.774284,183,7787.424271
563.63861,130,7800.426959
559.036037,104,7810.086777
525.22184,99,7819.077956
563.210222,124,7830.446127
601.530464,132,7842.480733
753.936342,164,7857.647505
1304.255688,256,7881.262673
630.050553,138,7893.872063
791.612115,155,7908.661464
857.518423,166,7924.189795
972.605205,193,7941.699171
588.271621,113,7951.92084
495.801508,97,7960.948644
578.742269,111,7971.019724
821.222113,161,7985.622681
522.533527,100,7994.600319
453.228325,88,8003.183407
516.267233,100,8012.422645
449.685301,87,8020.588881
631.14638,119,8032.728809
1301.084175,251,8056.64437
401.480539,76,8063.572483
684.546258,129,8075.851221
718.540082,136,8088.599336
608.876828,117,8099.512275
640.866511,126,8111.658136
619.084552,115,8122.337186
734.427235,157,8136.952287
1159.430822,244,8158.739699
534.66285,101,8167.625786
706.554676,125,8178.855375
603.577252,115,8188.571267
1106.934862,208,8205.717112
857.216174,162,8218.582138
1115.295377,239,8237.752117
758.189975,148,8249.768278
435.393741,97,8257.526096
629.683624,124,8267.548819
471.572078,98,8275.534495
483.471208,106,8284.264623
1010.404555,195,8300.223135
389.773736,74,8306.20716
690.804329,130,8317.328982
991.310499,195,8333.340356
527.289229,104,8342.279387
906.788289,169,8355.943185
462.628126,101,8364.083545
516.357623,100,8372.110911
472.634318,88,8379.372242
459.111759,87,8386.120244
427.909842,80,8392.831758
1681.952494,330,8419.424067
553.821664,100,8427.910656
873.931838,166,8440.676397
443.84463,101,8448.833845
522.633659,121,8458.876137
428.977713,84,8465.988899
557.409063,104,8474.488697
519.413033,98,8482.463997
674.675336,130,8492.891007
532.928319,119,8503.428674
937.293117,186,8519.002334
511.121258,108,8527.712471
641.182941,120,8537.333173
1196.231117,235,8556.717847
818.236614,155,8569.337623
814.528386,153,8581.883052
594.688802,109,8590.778818
833.885123,156,8601.93387
679.32328,147,8610.607598
453.795619,86,8614.238715
524.931227,100,8617.807289
586.554643,128,8621.741654
767.8933,144,8626.313893
1174.308356,237,8633.772187
448.688998,90,8636.553668
601.612375,117,8640.250355
621.141302,115,8643.798727
1794.048212,346,8654.419687
911.06349,173,8659.952548
522.095273,113,8663.572639
773.425504,146,8668.098777
